7	103	4
20	108	3
15	106	4
11	103	3
8	101	2
7	103	3
19	105	3
11	103	4
11	101	4
4	105	1
8	110	1
3	107	2
2	107	1
12	109	3
6	110	4
2	110	1
1	103	1
12	107	2
12	101	2
17	104	3
10	104	4
16	105	2
15	107	1
15	107	4
19	104	4
12	107	1
20	103	2
3	106	1
5	102	4
19	110	5
7	109	5
9	105	3
7	106	1
18	104	1
4	110	3
14	107	3
18	109	3
9	107	4
2	101	1
20	101	4
15	109	3
7	109	1
12	104	4
8	109	4
15	103	3
3	107	1
14	106	3
17	108	1
4	109	5
18	105	2
8	101	2
4	103	2
2	110	3
6	108	5
10	106	1
4	108	4
18	109	1
12	104	4
2	101	1
10	101	5
4	110	4
14	104	3
16	107	1
15	102	1
8	103	4
14	101	3
8	105	3
16	101	5
13	108	3
18	101	3
15	101	3
13	102	2
9	102	5
15	106	1
13	107	4
1	105	1
7	101	5
9	101	4
1	103	5
12	102	3
8	105	4
11	110	3
19	106	1
17	107	1
8	104	4
3	107	4
3	108	5
1	101	5
5	106	3
10	108	4
7	105	1
9	104	5
7	102	5
9	106	1
8	106	5
12	101	3
2	109	4
1	106	1
16	103	4
5	104	5
